OrigDate,Price,Open,High,Low,Vol.,Change %,Date
07/13/2022,14.91,14.91,14.91,14.91,,4.56%,2022-07-13
44780,14.26,14.26,14.26,14.26,,-1.19%,2022-08-07
44749,14.43,14.43,14.43,14.43,,1.72%,2022-07-07
44719,14.18,14.18,14.18,14.18,,1.16%,2022-06-07
44688,14.02,14.02,14.02,14.02,,0.15%,2022-05-07
44658,14,14,14,14,,-0.14%,2022-04-07
44568,14.02,14.02,14.02,14.02,,-8.30%,2022-01-07
06/30/2022,15.29,15.29,15.29,15.29,,5.50%,2022-06-30
06/29/2022,14.49,14.49,14.49,14.49,,2.78%,2022-06-29
06/28/2022,14.1,14.1,14.1,14.1,,0.51%,2022-06-28
06/27/2022,14.03,14.03,14.03,14.03,,0.17%,2022-06-27
06/24/2022,14,14,14,14,,-4.51%,2022-06-24
06/23/2022,14.67,14.67,14.67,14.67,,-0.67%,2022-06-23
06/22/2022,14.77,14.77,14.77,14.77,,1.67%,2022-06-22
06/21/2022,14.52,14.52,14.52,14.52,,-2.43%,2022-06-21
06/20/2022,14.88,14.88,14.88,14.88,,-2.08%,2022-06-20
06/17/2022,15.2,15.2,15.2,15.2,,4.78%,2022-06-17
06/16/2022,14.51,14.51,14.51,14.51,,-0.08%,2022-06-16
06/15/2022,14.52,14.52,14.52,14.52,,3.18%,2022-06-15
06/14/2022,14.07,14.07,14.07,14.07,,-0.56%,2022-06-14
06/13/2022,14.15,14.15,14.15,14.15,,1.02%,2022-06-13
44840,14.01,14.01,14.01,14.01,,1.60%,2022-10-06
44810,13.79,13.79,13.79,13.79,,6.01%,2022-09-06
44779,13.01,13.01,13.01,13.01,,-3.29%,2022-08-06
44748,13.45,13.45,13.45,13.45,,-3.90%,2022-07-06
44718,14,14,14,14,,-2.91%,2022-06-06
44626,14.41,14.41,14.41,14.41,,-1.14%,2022-03-06
44598,14.58,14.58,14.58,14.58,,0.61%,2022-02-06
44567,14.49,14.49,14.49,14.49,,1.81%,2022-01-06
05/31/2022,14.24,14.24,14.24,14.24,,0.98%,2022-05-31
05/30/2022,14.1,14.1,14.1,14.1,,1.02%,2022-05-30
05/27/2022,13.96,13.96,13.96,13.96,,-3.28%,2022-05-27
05/26/2022,14.43,14.43,14.43,14.43,,-0.52%,2022-05-26
05/25/2022,14.5,14.5,14.5,14.5,,1.40%,2022-05-25
05/24/2022,14.3,14.3,14.3,14.3,,1.11%,2022-05-24
05/23/2022,14.15,14.15,14.15,14.15,,0.40%,2022-05-23
05/20/2022,14.09,14.09,14.09,14.09,,1.27%,2022-05-20
05/18/2022,13.91,13.91,13.91,13.91,,-1.00%,2022-05-18
05/17/2022,14.05,14.05,14.05,14.05,,-1.89%,2022-05-17
05/16/2022,14.33,14.33,14.33,14.33,,2.97%,2022-05-16
05/13/2022,13.91,13.91,13.91,13.91,,3.91%,2022-05-13
44900,13.39,13.39,13.39,13.39,,-4.16%,2022-12-05
44870,13.97,13.97,13.97,13.97,,0.00%,2022-11-05
44839,13.97,13.97,13.97,13.97,,1.21%,2022-10-05
44809,13.81,13.81,13.81,13.81,,0.73%,2022-09-05
44717,13.71,13.71,13.71,13.71,,-0.38%,2022-06-05
44686,13.76,13.76,13.76,13.76,,-5.89%,2022-05-05
04/29/2022,14.62,14.62,14.62,14.62,,2.12%,2022-04-29
04/28/2022,14.32,14.32,14.32,14.32,,3.74%,2022-04-28
04/27/2022,13.8,13.8,13.8,13.8,,-0.72%,2022-04-27
04/26/2022,13.9,13.9,13.9,13.9,,-0.80%,2022-04-26
04/25/2022,14.01,14.01,14.01,14.01,,-0.32%,2022-04-25
04/22/2022,14.06,14.06,14.06,14.06,,-1.31%,2022-04-22
04/21/2022,14.24,14.24,14.24,14.24,,0.57%,2022-04-21
04/20/2022,14.16,14.16,14.16,14.16,,0.08%,2022-04-20
04/19/2022,14.15,14.15,14.15,14.15,,1.09%,2022-04-19
04/18/2022,14,14,14,14,,-0.47%,2022-04-18
04/15/2022,14.07,14.07,14.07,14.07,,8.41%,2022-04-15
04/14/2022,12.97,12.97,12.97,12.97,,-4.95%,2022-04-14
04/13/2022,13.65,13.65,13.65,13.65,,-3.20%,2022-04-13
44899,14.1,14.1,14.1,14.1,,0.35%,2022-12-04
44869,14.05,14.05,14.05,14.05,,0.00%,2022-11-04
44777,14.06,14.06,14.06,14.06,,0.95%,2022-08-04
44746,13.92,13.92,13.92,13.92,,-1.33%,2022-07-04
44716,14.11,14.11,14.11,14.11,,0.25%,2022-06-04
44685,14.08,14.08,14.08,14.08,,-0.43%,2022-05-04
44655,14.14,14.14,14.14,14.14,,0.57%,2022-04-04
44565,14.06,14.06,14.06,14.06,,10.28%,2022-01-04
03/31/2022,12.75,12.75,12.75,12.75,,-1.72%,2022-03-31
03/30/2022,12.97,12.97,12.97,12.97,,-4.98%,2022-03-30
03/29/2022,13.65,13.65,13.65,13.65,,-1.50%,2022-03-29
03/28/2022,13.86,13.86,13.86,13.86,,-1.42%,2022-03-28
03/25/2022,14.06,14.06,14.06,14.06,,-0.98%,2022-03-25
03/24/2022,14.2,14.2,14.2,14.2,,-0.49%,2022-03-24
03/23/2022,14.27,14.27,14.27,14.27,,-0.39%,2022-03-23
03/22/2022,14.32,14.32,14.32,14.32,,-0.42%,2022-03-22
03/21/2022,14.38,14.38,14.38,14.38,,1.83%,2022-03-21
03/18/2022,14.12,14.12,14.12,14.12,,6.12%,2022-03-18
03/17/2022,13.31,13.31,13.31,13.31,,-6.92%,2022-03-17
03/16/2022,14.3,14.3,14.3,14.3,,0.00%,2022-03-16
03/15/2022,14.29,14.29,14.29,14.29,,0.27%,2022-03-15
03/14/2022,14.26,14.26,14.26,14.26,,0.63%,2022-03-14
44868,14.17,14.17,14.17,14.17,,-2.09%,2022-11-03
44837,14.47,14.47,14.47,14.47,,0.77%,2022-10-03
44807,14.36,14.36,14.36,14.36,,-1.11%,2022-09-03
44776,14.52,14.52,14.52,14.52,,-0.18%,2022-08-03
